HIPNum1	HIPNum2	distance
7588	8241	3.900716
3092	3885	3.901845
13531	14632	3.910681
3179	2497	3.910837
13209	12189	3.915749
14328	15404	3.916441
5165	6595	3.921672
3821	5336	3.925576
8903	9884	3.932822
5348	3277	3.936019
8645	8143	3.937801
9347	10069	3.943748
746	117447	3.946478
14328	14632	3.949212
14328	15192	3.956040
12706	12530	3.965269
11767	85822	3.967338
8903	10155	3.973069
13268	11060	3.973658
13701	13402	3.987726
4427	1960	3.990708
6686	8148	3.994290
3821	3988	3.999569
2021	115129	4.003128
4427	6093	4.004170
13209	14376	4.004277
4427	5240	4.008773
5165	6952	4.012771
7097	6706	4.024931
12706	11474	4.028528
3419	3505	4.028601
8832	10155	4.036673
3821	5542	4.038275
13701	12444	4.041443
9884	10155	4.042656
1562	355	4.046161
746	695	4.054969
746	116912	4.056058
7097	6732	4.058807
3092	1630	4.059361
10064	10176	4.060995
14328	15444	4.066608
12706	12114	4.069508
3821	2854	4.071466
5447	4889	4.077926
3821	2505	4.080287
7607	6411	4.086360
9640	7918	4.086918
6686	4292	4.094264
9884	8544	4.098421
6686	4151	4.103236
677	117500	4.104200
6686	5240	4.109052
1067	813	4.112164
5348	3405	4.113054
9487	10723	4.115911
7083	9022	4.117537
3821	6242	4.119930
3179	1982	4.135136
14328	16292	4.143836
8903	8387	4.144148
10602	12653	4.144436
746	116962	4.146662
3419	2086	4.148548
9007	7189	4.149223
3179	5361	4.151175
1067	1465	4.163009
10602	11407	4.168656
1067	117986	4.179670
13268	11020	4.183363
14328	13178	4.185891
5447	6025	4.191227
13531	13462	4.194978
11767	59879	4.196047
5447	5544	4.205668
6867	5300	4.214493
3821	5021	4.224542
3179	5336	4.227666
9007	9095	4.228177
6686	9220	4.229286
1562	840	4.230161
9007	11102	4.238522
8796	10280	4.240728
10602	8593	4.244443
7607	7719	4.248461
11767	112833	4.249276
7097	5778	4.249900
4427	6486	4.251630
8903	10306	4.257439
5364	4346	4.262426
8796	9570	4.262787
13531	14382	4.265400
14135	12862	4.265844
2920	3821	4.271136
2021	7879	4.277985
6537	6687	4.280615
2920	4998	4.284902
677	1123	4.289339
8832	10050	4.295319
3419	2237	4.296622
9236	7506	4.297954
3179	4212	4.300780
5364	6537	4.301434
7588	8983	4.302162
9236	11479	4.304049
6686	5566	4.305539
13847	12413	4.312234
5165	3245	4.313882
746	3334	4.314170
8832	8993	4.317348
7097	8387	4.320757
6537	5296	4.321336
14135	15457	4.321757
1562	873	4.322930
12706	11687	4.325399
8796	9621	4.329293
2072	3903	4.332508
765	2383	4.351304
5165	3903	4.363535
9640	7825	4.369276
13531	13178	4.375102
3179	4440	4.376151
9884	10732	4.376403
8832	7740	4.381730
10602	12775	4.382135
11767	16489	4.382776
5364	6539	4.390754
8796	10220	4.401118
6686	4383	4.405420
11767	28532	4.407306
4436	5493	4.416925
8832	9153	4.422190
3092	4510	4.423560
7588	9685	4.425898
10064	11651	4.428486
6686	8362	4.434114
3092	1657	4.442405
6686	6312	4.456316
2021	114258	4.459523
10602	10871	4.460884
14328	16599	4.461472
6686	3988	4.464766
1067	2219	4.465482
7083	5862	4.466051
3092	1493	4.472888
13268	14566	4.476160
9347	8778	4.478245
4436	6140	4.482900
2920	5251	4.483528
13847	12300	4.489172
2081	3903	4.491085
9236	9318	4.497825
765	117075	4.503487
8832	7359	4.504085
13209	14719	4.504183
3179	5542	4.510199
5348	7751	4.520717
9236	7387	4.522757
8832	9836	4.528551
5348	7588	4.531845
3419	2337	4.536271
8886	7965	4.541968
746	274	4.542864
14135	13679	4.547460
3821	6486	4.549099
5348	2937	4.554577
2920	3083	4.555020
9640	9977	4.555821
3092	2942	4.557237
4436	4552	4.558275
13531	15404	4.563124
5364	3909	4.563211
13209	14748	4.570064
5165	7115	4.571697
8832	7447	4.574942
3419	3607	4.576473
765	2081	4.585909
2072	2383	4.594226
8102	9572	4.595890
677	118131	4.602676
9598	13133	4.618060
2072	2802	4.625348
4427	5589	4.626842
7083	9095	4.632316
8796	7874	4.635339
13531	11465	4.640542
2081	3245	4.640965
3419	3849	4.642700
3419	4801	4.643879
8102	6670	4.645922
5447	7147	4.646583
8102	7916	4.647124
12706	12272	4.649489
677	1657	4.649729
14135	14607	4.658130
2920	5336	4.665302
7083	8837	4.675205
8102	6589	4.675487
3179	4427	4.679173
7083	6595	4.680155
1562	443	4.682043
746	117133	4.682119
5348	7387	4.684282
7083	9007	4.684975
13209	14677	4.691282
2072	25	4.694824
13531	15444	4.702997
12706	12022	4.704570
9640	7818	4.706477
6686	7593	4.710166
14135	15619	4.715857
9598	6378	4.719543
5348	2789	4.719819
10064	10280	4.721849
13268	13732	4.722875
9598	7965	4.723402
6537	5164	4.728367
10064	11784	4.731149
10602	12484	4.731196
13847	13225	4.731299
9236	6631	4.735441
14328	15863	4.735693
8886	5566	4.744013
746	2599	4.751850
13268	10729	4.757423
5364	6822	4.769975
9640	8044	4.772643
677	2355	4.778480
765	107	4.783803
8796	10446	4.788601
13701	15197	4.794292
12706	12148	4.794772
746	3649	4.796144
8645	8230	4.796917
6686	8886	4.799369
2920	4844	4.801446
13209	11670	4.806852
8886	5589	4.808528
13268	10633	4.810047
12706	14135	4.811362
10064	11840	4.811960
10602	8240	4.815764
765	2472	4.821931
4427	6312	4.828205
5165	7083	4.828863
6867	8882	4.830268
9884	9132	4.835313
13531	12690	4.837477
7588	4829	4.845260
9640	8370	4.847585
2021	8991	4.850222
14135	13954	4.859537
9598	9727	4.861267
4427	1354	4.863768
13847	13265	4.863903
3179	4151	4.864777
13847	14913	4.875589
3179	5251	4.877694
7097	6714	4.877901
9640	9163	4.879903
4427	7294	4.882479
6537	5121	4.886322
12706	14143	4.887496
13268	10718	4.889669
13847	15510	4.898152
10064	8433	4.900363
2920	4383	4.902948
7083	9085	4.904034
8645	10215	4.907009
8832	10306	4.909297
9640	7719	4.911639
10064	11432	4.912141
746	3179	4.914977
2920	3334	4.916693
2021	8366	4.920498
5348	7506	4.921132
6537	6748	4.922794
8796	9859	4.925535
3821	5688	4.926937
9347	7679	4.932300
13209	13775	4.935769
6686	3649	4.942216
13209	14893	4.945156
2081	3356	4.953902
5165	3137	4.958633
9640	10814	4.959492
4436	2942	4.961728
