%  RA(deg)   DEC(deg)    HIPNum  Mag
201.298247 -11.161322  65474  0.98
201.306408  54.987958  65477  3.99
202.761069 -39.407307  65936  3.90
203.673300  -0.595820  66249  3.38
204.971910 -53.466394  66657  2.29
206.885157  49.313265  67301  1.85
207.376155 -41.687709  67464  3.41
207.404121 -42.473732  67472  3.47
208.671161  18.397717  67927  2.68
208.884941 -47.288375  68002  2.55
209.567775 -42.100753  68245  3.83
209.669785 -44.803584  68282  3.87
210.955852 -60.373039  68702  0.61
211.097291  64.375851  68756  3.67
211.592904 -26.682361  68895  3.25
211.670619 -36.369954  68933  2.06
213.915300  19.182410  69673 -0.05
214.850925 -46.058093  69996  3.55
217.957458  30.371437  71053  3.57
218.019466  38.308253  71075  3.04
218.876766 -42.157824  71352  2.33
219.896170 -60.837156  71681  1.35
219.902066 -60.833975  71683 -0.01
220.287299  13.728300  71795  3.78
220.482315 -47.388200  71860  2.30
220.626747 -64.975138  71908  3.18
220.765097  -5.658207  71957  3.87
221.246740  27.074222  72105  2.35
221.562184   1.892885  72220  3.73
221.965453 -79.044751  72370  3.83
222.676360  74.155505  72607  2.07
222.719638 -16.041778  72622  2.75
224.633028 -43.133960  73273  2.68
224.790354 -42.104194  73334  3.13
225.486510  40.390566  73555  3.49
226.017565 -25.281965  73714  3.25
226.279524 -47.051245  73807  3.91
227.983649 -48.737819  74376  3.88
228.071229 -52.099247  74395  3.41
228.875679  33.314833  74666  3.46
229.251728  -9.382917  74785  2.61
229.727426 -68.679545  74946  2.87
230.182148  71.834016  75097  3.00
230.343007 -40.647518  75141  3.22
230.451542 -36.261376  75177  3.57
230.670295 -44.689622  75264  3.37
231.232395  58.966066  75458  3.29
231.957212  29.105703  75695  3.66
233.671950  26.714693  76267  2.22
233.700613  10.538867  76276  3.80
233.785200 -41.166757  76297  2.80
233.881579 -14.789537  76333  3.91
234.256041 -28.135079  76470  3.60
234.664040 -29.777754  76600  3.66
235.685688  26.295637  76952  3.81
236.066979   6.425627  77070  2.63
236.546902  15.421826  77233  3.65
237.405035  -3.430208  77516  3.54
237.704025   4.477730  77622  3.71
237.739740 -33.627165  77634  3.97
238.785676 -63.430727  77952  2.83
239.113262  15.661617  78072  3.85
239.221152 -29.214073  78104  3.87
239.712970 -26.114105  78265  2.89
240.030534 -38.396707  78384  3.42
240.083359 -22.621710  78401  2.29
241.359295 -19.805453  78820  2.56
241.701775 -20.669192  78933  3.93
242.998894 -19.460708  79374  4.00
243.586414  -3.694323  79593  2.73
243.859462 -63.685682  79664  3.86
244.580371  -4.692511  79882  3.23
244.935153  46.313366  79992  3.91
245.297150 -25.592796  80112  2.90
245.480060  19.153130  80170  3.74
245.997859  61.514213  80331  2.73
247.351920 -26.432002  80763  1.06
247.555000  21.489613  80816  2.78
247.728429   1.983923  80883  3.82
248.362848 -78.897148  81065  3.86
248.970641 -28.216016  81266  2.82
249.289741 -10.567090  81377  2.54
250.321501  31.602726  81693  2.81
250.724022  38.922254  81833  3.48
252.166229 -69.027715  82273  1.91
252.446485 -59.041378  82363  3.77
252.540887 -34.293232  82396  2.29
252.967635 -38.047380  82514  3.00
253.083933 -38.017536  82545  3.56
253.645855 -42.361313  82729  3.62
254.417072   9.375033  83000  3.19
254.655049 -55.990141  83081  3.12
255.072391  30.926405  83207  3.92
257.196648  65.714683  83895  3.17
257.594531 -15.724910  84012  2.43
258.038306 -43.239189  84143  3.32
258.661910  14.390333  84345  2.78
258.757961  24.839204  84379  3.12
258.761810  36.809162  84380  3.16
260.502410 -24.999545  84970  3.27
261.324953 -55.529884  85258  2.84
261.348579 -56.377727  85267  3.31
262.608175  52.301387  85670  2.79
262.690982 -37.295811  85696  2.70
262.774638 -60.683848  85727  3.60
262.960389 -49.876145  85792  2.84
263.402167 -37.103821  85927  1.62
263.733627  12.560035  86032  2.08
264.329711 -42.997824  86228  1.86
264.396673 -15.398557  86263  3.54
264.866193  46.006332  86414  3.82
265.621979 -39.029983  86670  2.39
265.868138   4.567303  86742  2.76
266.433280 -64.723872  86929  3.61
266.614695  27.720676  86974  3.42
266.896173 -40.126998  87073  2.99
266.973169   2.707276  87108  3.75
267.464508 -37.043304  87261  3.19
268.382206  56.872643  87585  3.73
269.063252  37.250539  87808  3.86
269.151541  51.488895  87833  2.24
269.441190  29.247880  87933  3.70
269.756631  -9.773632  88048  3.32
270.161316   2.931568  88192  3.93
271.452029 -30.424091  88635  2.98
271.657796 -50.091477  88714  3.65
271.837434   9.563847  88771  3.71
271.885628  28.762489  88794  3.84
273.440874 -21.058834  89341  3.84
274.406813 -36.761686  89642  3.10
275.248507 -29.828103  89931  2.72
275.264094  72.732843  89937  3.55
275.327503  -2.898825  89962  3.23
275.924540  21.769752  90139  3.85
276.042993 -34.384616  90185  1.79
276.743401 -45.968459  90422  3.49
276.992669 -25.421700  90496  2.82
278.801778  -8.244073  91117  3.85
279.234735  38.783692  91262  0.03
281.414110 -26.990778  92041  3.17
282.519978  33.362667  92420  3.52
283.816357 -26.296722  92855  2.05
284.432507 -21.106654  93085  3.52
284.735928  32.689557  93194  3.25
285.652975 -29.880105  93506  2.60
286.170757 -21.741496  93683  3.76
286.352534  13.863478  93747  2.99
286.562243  -4.882554  93805  3.43
286.735037 -27.670423  93864  3.32
287.440971 -21.023615  94141  2.88
288.138750  67.661541  94376  3.07
289.275703  53.368459  94779  3.80
290.418162 -17.847197  95168  3.92
290.659552 -44.458965  95241  3.96
290.971569 -40.615940  95347  3.96
291.374585   3.114775  95501  3.36
292.426496  51.729779  95853  3.76
292.680336  27.959681  95947  3.05
296.243658  45.130810  97165  2.86
296.564915  10.613261  97278  2.72
296.846927  18.534286  97365  3.68
297.043134  70.267930  97433  3.84
297.695829   8.868322  97649  0.76
298.118199   1.005661  97804  3.87
298.828306   6.406763  98036  3.71
299.076550  35.083424  98110  3.89
299.689281  19.492148  98337  3.51
300.148138 -72.910504  98495  3.97
302.181702 -66.182068  99240  3.55
302.826190  -0.821461  99473  3.24
303.407943  46.741329  99675  3.80
303.868007  47.714208  99848  3.96
304.513564 -12.544852 100064  3.58
305.252815 -14.781367 100345  3.05
305.557091  40.256679 100453  2.23
306.411908 -56.735090 100751  1.94
309.387254  14.595087 101769  3.64
309.391800 -47.291502 101772  3.11
309.909531  15.912072 101958  3.77
310.357978  45.280338 102098  1.25
311.239560 -66.203213 102395  3.42
311.322396  61.838782 102422  3.41
311.552845  33.970256 102488  2.48
311.918964  -9.495776 102618  3.78
313.702513 -58.454155 103227  3.67
314.293409  41.167136 103413  3.94
316.232762  43.927852 104060  3.72
318.234109  30.226916 104732  3.21
318.697882  38.045317 104887  3.74
318.955965   5.247845 104987  3.92
319.644881  62.585573 105199  2.45
321.666775 -22.411332 105881  3.77
322.164988  70.560716 106032  3.23
322.889725  -5.571172 106278  2.90
323.495219  45.591837 106481  3.98
325.022735 -16.662308 106985  3.69
325.369360 -77.390046 107089  3.73
326.046492   9.875011 107315  2.38
326.760188 -16.127286 107556  2.85
328.482185 -37.364852 108085  3.00
331.445982  -0.319851 109074  2.95
331.752775  25.345112 109176  3.77
332.058273 -46.960975 109268  1.73
332.549938   6.197865 109427  3.52
332.713653  58.201261 109492  3.39
334.625392 -60.259588 110130  2.87
335.414064  -1.387332 110395  3.86
337.207967  -0.019972 110960  3.65
337.317395 -43.495565 110997  3.97
337.822921  50.282491 111169  3.76
340.365503  10.831364 112029  3.41
340.666878 -46.884577 112122  2.07
340.750573  30.221245 112158  2.93
341.632828  23.565654 112440  3.97
342.138743 -51.316864 112623  3.49
342.420069  66.200408 112724  3.50
342.500803  24.601579 112748  3.51
343.153650  -7.579599 112961  3.73
343.662552 -15.820820 113136  3.27
344.412694 -29.622236 113368  1.17
345.480268  42.325979 113726  3.62
345.943573  28.082789 113881  2.44
346.190224  15.205264 113963  2.49
347.361655 -21.172410 114341  3.68
347.589740 -45.246711 114421  3.88
349.291408   3.282289 114971  3.70
349.357389 -58.235734 114996  3.99
350.742612 -20.100580 115438  3.96
354.391010  46.458152 116584  3.81
354.836871  77.632276 116727  3.21
  0.490079  -6.014072    154  4.37
  3.660067 -18.932866   1170  4.44
  5.017751 -64.874790   1599  4.23
  7.886111 -62.958218   2484  4.36
  8.249965  62.931783   2599  4.17
  9.220207  33.719344   2912  4.34
  9.638941  29.311751   3031  4.34
 10.838494 -57.463060   3405  4.36
 11.181324  48.284364   3504  4.48
 11.834689  24.267178   3693  4.08
 12.170601   7.585079   3786  4.44
 14.301667  23.417648   4463  4.40
 14.651504 -29.357449   4577  4.30
 15.735868   7.890135   4906  4.27
 17.186989  86.257090   5372  4.24
 17.375523  47.241792   5434  4.26
 17.775675  55.149901   5542  4.34
 18.942337 -68.875927   5896  4.25
 24.199345  41.405459   7513  4.10
 25.357893   5.487613   7884  4.45
 25.915156  50.688732   8068  4.01
 26.348461   9.157736   8198  4.26
 28.411424 -46.302669   8837  4.39
 30.489386  70.907020   9480  4.49
 33.249981   8.846717  10324  4.36
 34.328614  33.847194  10670  4.03
 35.437261 -68.659418  11001  4.08
 36.746343 -47.703840  11407  4.24
 37.039760   8.460054  11484  4.30
 37.266441  67.402474  11569  4.46
 39.870653   0.328511  12387  4.08
 39.897339 -68.266946  12394  4.12
 40.166810 -39.855376  12486  4.11
 41.030625 -13.858696  12770  4.24
 41.049943  49.228448  12777  4.10
 41.235593  10.114146  12828  4.27
 41.275771 -18.572563  12843  4.47
 42.272581 -32.405898  13147  4.45
 42.646082  38.318644  13254  4.22
 45.597917 -23.624472  14146  4.08
 47.266749  49.613278  14632  4.05
 47.907356  19.726677  14838  4.35
 49.981878 -43.069783  15510  4.26
 50.084837  29.048458  15549  4.47
 52.267223  59.940330  16228  4.21
 52.643682  47.995216  16335  4.36
 52.718243  12.936678  16369  4.14
 53.446984 -21.632883  16611  4.26
 54.122412  48.192634  16826  4.32
 54.218263   0.401662  16852  4.29
 56.302060  24.467278  17531  4.30
 56.535565 -12.101589  17593  4.43
 56.581558  23.948358  17608  4.14
 56.712031 -23.249723  17651  4.22
 57.149495 -37.620155  17797  4.30
 57.363521 -36.200250  17874  4.17
 57.380341  65.525972  17884  4.39
 58.572925  -2.954730  18255  4.46
 60.224197 -62.159284  18744  4.48
 61.173815  22.081926  19038  4.36
